companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:20MICRONS,C,20 Microns Ltd,638.93,181.07,Mining/Minerals,Mining & Mineral products,9.92,0.69,2.51,5.5,-14.29,1.4,5.88,-5.02,-8.48,-21.24,176.92,6.36,36.2,162.01,0.36,0.37,0.05,-0.61,45.04,0,16.71,2.89,-6.92,0.08,11.82,47.94,50.87,27.2,20.63,9.3,282.61,212.23,163.37,121.37
NSE:360ONE,C,360 ONE WAM Ltd,45695.34,1126.8,Finance - Capital Markets - Wealth Management,Stock/ Commodity Brokers,38.3,11.39,22.1,16.73,3.74,4.89,1.16,-0.88,3.79,9.6,1132.41,24.04,11.55,790.5,1.47,2.16,1.09,-0.63,6.25,-8.51,10.97,14.35,7.6,51.47,42.53,14.51,-237.45,-120.38,null,88.22,1154.09,586.04,13764.67,9411.06
BSE:3BBLACKBIO,C,3B Blackbio DX Ltd,1373.23,1600,Diagnostics,Healthcare,23.57,10.65,33.01,20.04,49.2,4.6,-1.69,9.93,19.84,-1.96,1622.82,23.8,23.81,1151,0,0.01,0.14,-0.12,41.28,-0.01,25.14,14.82,48.53,98.31,39.01,31.91,90.91,86.52,0,0,17.25,7.4,0.27,0.85
NSE:3MINDIA,S,3M India Ltd,39557.29,35115,Diversified,Diversified,104.56,8.09,14.22,-33.15,-132.43,24.42,-0.21,0.34,-3.26,14.44,34971.25,43.73,8.23,25718.15,0.06,0.01,0.24,-0.51,75,0,50.82,8.73,-3.04,12.67,35.7,14.58,74.59,46.14,17.63,9.82,null,332.46,103.32,18.18
NSE:5PAISA,C,5paisa Capital Ltd,1010.53,323.45,Finance - Capital Markets - Brokers,Stock/ Commodity Brokers,23.27,3.31,-23.87,-32.13,29.75,1.61,-1.76,-9.31,11.4,-13.11,342.27,0.45,25.74,287.65,0.46,0.37,-0.24,-9.22,32.78,0.01,9.48,-31.77,2.73,-7.02,11.96,57.54,143.53,77.13,null,0.08,17.12,24.86,290.55,336.32
NSE:63MOONS,C,63 Moons Technologies Ltd,3165.6,687,IT - Software,IT - Software,null,34.6,113.39,21.28,28.63,0.9,8.33,-1.12,-7.9,-27.03,648.59,-4.93,39.4,575.05,0,0,-0.01,-0.47,45.63,0,-1.52,-50.44,30.77,128.01,19.09,39.4,253.9,59.94,0,0,337.63,369.3,5.3,5.17
BSE:A1L,C,A-1 Ltd,1065.36,23.16,Trading,Trading,772,3.47,8.25,-30.62,1271.43,21.85,-22.57,-34.58,-49.11,40.96,32.29,149.73,67.11,10.25,0.35,0.29,0.09,3.82,70.03,0,7.35,-27.27,10.56,-6.08,125.95,67.11,-288.31,-104.78,0.8,0,9.95,13.12,17.06,10.74
NSE:AADHARHFC,C,Aadhar Housing Finance Ltd,20243.1,466.65,Finance - Housing,Finance,19.58,5.75,18.67,18.54,5.53,2.94,-1.7,-3.46,-6.46,-6.03,474.07,26.66,14.8,361.6,2.55,3.31,-0.82,1.89,75.19,-0.54,10.85,18.6,5.08,18.19,29.08,14.8,-331.93,-252.81,null,0,105.35,79.82,17605.53,13959.62
NSE:AARTIDRUGS,C,Aarti Drugs Ltd,3392.51,371.7,Pharma - API,Pharmaceuticals,16.76,1.35,8.22,32.64,-10.21,2.31,-0.79,-5.58,-20.91,-23.98,376.71,13,34.23,312,0.39,0.51,1.36,-0.13,55.03,-0.35,12.07,3.37,-7.82,8.1,18.91,63.87,145.5,85.2,179.14,330.18,1078.34,811.09,573.49,564.28
NSE:AARTIIND,C,Aarti Industries Ltd,16186.21,446.4,Speciality Chemicals,Chemicals,42.88,2.01,13.35,3,25.47,2.84,1.24,22.98,13.6,16.73,399.98,19.05,9.74,338.05,0.7,0.59,0.28,-0.56,42.14,-0.21,6.55,-1.16,10.38,25.77,32.17,56.17,375.36,124.14,1596,1454.21,6586,5820,3973,3622.67
NSE:AARTIPHARM,C,Aarti Pharmalabs Ltd,6428.71,709.2,Pharma - API,Pharmaceuticals,30.08,3.57,-12.47,-14.28,71.78,3.15,-8.7,-7.26,-4.9,-10.18,762.77,16.86,26.88,574.45,0.32,0.14,-2.7,-0.96,43.1,-1.56,11.77,-17.61,3.33,-19.62,23.6,26.88,121.72,71.4,160.5,374.35,1514.98,1091.74,658.78,285.25
NSE:AAVAS,S,AAVAS Financiers Ltd,10188.83,1286.6,Finance - Housing,Finance,16.24,3.91,15.05,11.34,3.73,2.17,-1.14,-11.09,-26.23,-23.88,1401.38,27.16,42.66,1264.1,3.08,3.01,-11.4,-9.25,48.95,22.48,9.89,12,1.08,12.98,1.34,61.65,-289.17,-216.97,null,10.4,156.94,127.2,14412.64,12350.11
BSE:AAYUSHBULL,S,Aayush Art and Bullion Ltd,1702.71,1112,Trading,"Diamond, Gems and Jewellery",958.62,17.94,254.8,359.52,-76.28,32.19,-0.04,0.49,8.7,19.29,1108.51,653.96,1.69,744,0,0,0,0,20.7,13.69,4.56,426,1.12,79.53,49.46,1.69,-2237.51,-1650.48,0,0,null,null,0,0
NSE:AFSL,C,Abans Financial Services Ltd,1018.55,201.06,Finance & Investments - Others,Finance,7.32,0.06,559.29,39.31,-18.02,0.87,-0.85,-0.22,-6.24,-8.59,202.13,6.94,25.05,171.3,0.62,0.61,-0.01,4.17,71.36,-0.14,10.16,20.18,-4.93,407.34,17.91,67.68,-109.45,-62.68,null,0,16.79,14.93,734.81,928.93
NSE:ABB,C,ABB India Ltd,122493.64,5780.5,Electric Equipment - General,Capital Goods - Electrical Equipment,69.33,10.05,null,null,16.29,47.12,-0.61,16.4,17.74,13.71,5375.83,53.32,7.6,4637.5,null,null,3.46,-4.2,75,0,null,null,4.26,13.69,24.73,36.78,null,null,null,117.01,null,null,null,0
NSE:ABBOTINDIA,S,Abbott India Ltd,56225.65,26460,Pharma - MNC bulk Drugs,Pharmaceuticals,36.89,8.24,9.31,14.21,-9.47,14.02,-3.31,-5.8,-10.53,-19.69,27273.5,30.2,28.5,26300,0.05,0.04,-0.01,0.02,74.99,0,48.97,13.2,-1.88,6.8,0.59,28.5,71.54,59.71,23.32,18.08,null,224.94,182.45,83.23
NSE:ABCOTS,C,AB Cotspin India Ltd,942.68,429.2,Textiles - Spinning/Cotton/Blended,Textiles,60.45,3.37,-3.32,31.93,-9.67,6.34,0.34,4.9,3.83,3.66,420.1,28.46,15.48,370.1,0.93,null,0,0.11,52.5,17.58,10.32,48.05,52.21,30.37,15.1,17.44,-161.29,-54.67,0,33.17,103,72.08,137.39,121.67
NSE:ABINFRA,S,A B Infrabuild Ltd,1262.25,19.76,Construction - Civil/Turnkey,Infrastructure Developers & Operators,58.12,5.16,52.45,82.07,187.32,8.09,-3.14,3.4,-1.39,4.57,19.15,33.59,11.6,6.17,0.29,0.87,0,0.03,30.95,-6.19,17.9,76.92,99.49,-0.84,222.37,11.6,-146.34,-71.42,0,0.33,null,36.22,45.84,38.89
NSE:ACCELYA,C,Accelya Solutions India Ltd,1778.61,1191.6,IT Product Companies,IT - Software,16.51,3.31,3.49,11.99,-52.92,6.77,-6.48,-9.07,-10.87,-14.37,1300,9.54,21.91,1182.1,0.33,0.05,-1.04,0.08,74.66,0,43.53,3.37,-2.4,-0.19,0.87,43.95,112.05,74.37,0.04,14.83,143.53,68.96,86.86,33.45
NSE:ACCENTMIC,S,Accent Microcell Ltd,772.09,321.85,Pharma - Formulators,Pharmaceuticals,21.12,2.78,5,6.55,8.86,3.29,-2.47,-8.24,6.22,12.89,327.96,15.6,14.85,170.26,0.01,0.75,3.57,0.27,55.44,0.34,22.47,21.98,0.6,10.58,89.03,14.85,74.62,58.87,12.77,1.86,null,31.31,1.51,22.81
NSE:ACC,C,ACC Ltd,30742.65,1637.1,Cement,Cement,11.6,1.25,16.38,2.13,-63.88,1.54,-1.82,-4.11,-11.31,-8.41,1680.02,10.01,22.82,1593,0.02,0.01,-3.27,0.85,56.69,0,13.55,-14.69,7.97,8.56,2.71,42.47,71.24,55.91,1941.27,2061.48,11285.53,10007.37,485.44,354.85
