companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:20MICRONS,C,20 Microns Ltd,656.72,186.11,Mining/Minerals,Mining & Mineral products,10.54,0.71,7.24,4.72,2.91,1.44,-4.91,-5.01,-14.17,-28.35,202.4,6.54,34.45,158.2,0.36,0.37,0.15,-0.73,45.04,0.05,16.4,0.94,-6.63,-3.91,17.64,46.52,50.87,27.2,20.63,9.3,282.61,212.23,163.37,121.37
NSE:360ONE,C,360 ONE WAM Ltd,48539.23,1197.7,Finance - Capital Markets - Wealth Management,Stock/ Commodity Brokers,40.71,12.1,22.1,16.73,3.74,5.19,4.98,5.67,2.21,0.01,1172.63,24.11,5.97,790.5,1.47,2.16,2.23,0.29,6.26,-9.45,10.97,14.35,7.6,51.47,51.51,9.13,-237.45,-120.38,null,88.22,1154.09,586.04,13764.67,9411.06
BSE:3BBLACKBIO,C,3B Blackbio DX Ltd,1455.41,1695.75,Diagnostics,Healthcare,29.52,13.99,16.55,13.23,18.99,4.88,16.56,19.09,23.7,7.09,1454.26,26.19,19.25,1151,0,0.01,0.14,-0.12,41.28,-0.01,22.09,12.42,52.5,16.3,47.33,27.84,90.91,86.52,0,0,17.25,7.4,0.27,0.85
NSE:3MINDIA,S,3M India Ltd,39709.37,35250,Diversified,Diversified,71.66,8.36,13.23,-5.66,7.68,24.67,3.27,-0.34,19.92,17.27,35106.5,44.88,5.51,25718.15,0.06,0.01,-0.03,-0.64,75,0,51.24,9.99,5.9,14.02,37.06,13.72,74.59,46.14,17.63,9.82,null,332.46,103.32,18.18
NSE:5PAISA,C,5paisa Capital Ltd,1170.65,374.7,Finance - Capital Markets - Brokers,Stock/ Commodity Brokers,26.96,3.83,-23.87,-32.13,29.75,1.87,4.29,20.72,19.03,-6.62,352.18,2.12,13.6,287.65,0.46,0.37,0,0.09,32.75,-0.02,9.48,-31.77,2.73,-7.02,30.26,50.6,143.53,77.13,null,0.08,17.12,24.86,290.55,336.32
NSE:63MOONS,C,63 Moons Technologies Ltd,3127.35,678.7,IT - Software,IT - Software,null,40.93,-53.94,-202.19,-2554.76,0.9,3.85,-10.48,-15.59,-37.96,712.94,-4.79,39.94,591.25,0,0,-0.01,-0.47,45.63,0,-1.43,-421.43,-32.55,109.81,14.79,39.94,253.9,59.94,0,0,337.63,369.3,5.3,5.17
BSE:A1L,C,A-1 Ltd,1472,32,Trading,Trading,640,4.72,24.08,-9.39,-88.33,30.19,-18.37,-37.72,25.44,95.12,42.4,183.89,54.55,9.63,0.35,0.29,0.09,3.82,70.03,0,8.25,-10,-2.4,-18.8,232.29,54.55,-288.31,-104.78,0.8,0,9.95,13.12,17.06,10.74
NSE:AADHARHFC,C,Aadhar Housing Finance Ltd,20522.9,473.1,Finance - Housing,Finance,20.66,6.08,18.76,18.5,12.3,2.98,-0.6,-3.64,-6.89,-6.25,485.41,28.27,13.64,346.05,2.55,3.31,-1.21,1.78,75.32,-0.57,10.44,18.96,5.77,17.38,36.71,13.64,-331.93,-252.81,null,0,105.35,79.82,17605.53,13959.62
NSE:AARTIDRUGS,C,Aarti Drugs Ltd,3516.63,385.3,Pharma - API,Pharmaceuticals,17.67,1.42,4.08,30.7,-16.32,2.4,0.14,-0.61,-26.55,-25.94,400.49,13.18,31.69,312,0.39,0.51,2.06,0.18,54.72,-0.92,13.12,13.54,10.55,9.1,23.49,62.48,145.5,85.2,179.14,330.18,1078.34,811.09,573.49,564.28
NSE:AARTIIND,C,Aarti Industries Ltd,12857.6,354.6,Speciality Chemicals,Chemicals,44.27,1.7,8.35,-34.61,146.51,2.25,-1.95,-4.81,-5.83,-22.21,370.56,16.93,28.36,344.2,0.7,0.59,0.09,-3.27,42.18,-0.43,5.91,-37.53,25.37,28.99,3.02,65.21,375.36,124.14,1596,1454.21,6586,5820,3973,3622.67
