"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","7(2)","Vikas Gupta","Employees/Designated Employees","Equity Shares","Nil","0",,"1510","1775307","Buy","Equity Shares","1510","0","13-Jan-2026","13-Jan-2026","14-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","14-Jan-2026 12:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192944_1600487_14012026122839_WEB.xml"
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED","7(2)","Deepika Bhan","Employees/Designated Employees","Equity Shares","Nil","0",,"3690","4350510","Buy","Equity Shares","3690","0","13-Jan-2026","13-Jan-2026","13-Jan-2026","ESOP","-","-","0","0","0","0","NA","-","14-Jan-2026 12:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192944_1600487_14012026122839_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","863996","1.83",,"2981","4272667","Sell","Equity Shares","861015","1.83","09-Jan-2026","09-Jan-2026","13-Jan-2026","Off Market","-","-","0","0","0","0","NA","-","14-Jan-2026 12:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192943_1600482_14012026122639_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","861015","1.83",,"426","117299","Sell","Equity Shares","860589","1.83","09-Jan-2026","09-Jan-2026","13-Jan-2026","Off Market","-","-","0","0","0","0","NA","-","14-Jan-2026 12:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192943_1600482_14012026122639_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","867553","1.84",,"3557","5098248","Sell","Equity Shares","863996","1.83","09-Jan-2026","09-Jan-2026","13-Jan-2026","Off Market","-","-","0","0","0","0","NA","-","14-Jan-2026 12:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192943_1600482_14012026122639_WEB.xml"
"HOMESFY","Homesfy Realty Limited","7(2)","Ashish Kukreja","Promoters","Equity Shares","1542312","47.81",,"5100","824874","Buy","Equity Shares","1547412","47.96","12-Jan-2026","13-Jan-2026","13-Jan-2026","Market Purchase","-","-","0","0","0","0","NSE","-","13-Jan-2026 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192940_1600234_13012026064411_WEB.xml"
"JUBLFOOD","Jubilant Foodworks Limited","7(2)","Jubilant Consumer Private Limited","Promoters","Equity Shares","265752415","40.27",,"600000","314160000","Pledge","Equity Shares","265752415","40.27","12-Jan-2026","12-Jan-2026","13-Jan-2026","Pledge Creation","-","-","0","0","0","0","NA","-","13-Jan-2026 18:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192938_1600218_13012026063355_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Tapovan Paper and Board Mills Limited","Promoter Group","Equity Shares","Nil","0",,"75645","756450","Buy","Equity Shares","75645","0.4","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Paresh Farms Private Limited","Promoter Group","Equity Shares","374","0",,"374","3740","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
"NATHBIOGEN","Nath Bio-Genes (India) Limited","7(2)","Prabha Farms Private Limited","Promoter Group","Equity Shares","75271","0.4",,"75271","752710","Sell","Equity Shares","Nil","0","09-Jan-2026","09-Jan-2026","09-Jan-2026","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","13-Jan-2026 18:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1192936_1600132_13012026060214_WEB.xml"
